group,item,cond2,stimulus,target,sentence,question,left,right,
C,9,NoClash.NoShift,SC_NoClash_NoShift_9.wav,target_9,"On a bright spring day, the rustic lad from the small country town arrived in the city.",WAS IT A RAINY DAY?,YES,NO,
D,9,NoClash.Shift,SC_NoClash_Shift_9.wav,target_9,"On a bright spring day, the rustic lad from the small country town arrived in the city.",WAS IT A RAINY DAY?,YES,NO,
A,10,Clash.NoShift,SC_Clash_NoShift_10.wav,target_10,"As the dancers twirled, an insane thought for a new, bold costume entered Angela's mind.",WHO TWIRLED?,THE DANCERS,ANGELA,
B,10,Clash.Shift,SC_Clash_Shift_10.wav,target_10,"As the dancers twirled, an insane thought for a new, bold costume entered Angela's mind.",WHO TWIRLED?,THE DANCERS,ANGELA,
C,10,NoClash.NoShift,SC_NoClash_NoShift_10.wav,target_10,"As the dancers twirled, a crazy thought for a new, bold costume entered Angela's mind.",WHO TWIRLED?,THE DANCERS,ANGELA,
D,10,NoClash.Shift,SC_NoClash_Shift_10.wav,target_10,"As the dancers twirled, a crazy thought for a new, bold costume entered Angela's mind.",WHO TWIRLED?,THE DANCERS,ANGELA,
A,11,Clash.NoShift,SC_Clash_NoShift_11.wav,target_11,"Late in the evening, the complex task for his demanding boss seemed insurmountable.",WHO WAS THE TASK FOR?,THE BOSS,THE EMPLOYEE,
B,11,Clash.Shift,SC_Clash_Shift_11.wav,target_11,"Late in the evening, the complex task for his demanding boss seemed insurmountable.",WHO WAS THE TASK FOR?,THE BOSS,THE EMPLOYEE,
C,11,NoClash.NoShift,SC_NoClash_NoShift_11.wav,target_11,"Late in the evening, the easy task for his demanding boss seemed insurmountable.",WHO WAS THE TASK FOR?,THE BOSS,THE EMPLOYEE,
D,11,NoClash.Shift,SC_NoClash_Shift_11.wav,target_11,"Late in the evening, the easy task for his demanding boss seemed insurmountable.",WHO WAS THE TASK FOR?,THE BOSS,THE EMPLOYEE,
A,12,Clash.NoShift,SC_Clash_NoShift_12.wav,target_12,"Hearing the barking dog, the innate sense for protection in heights drove squirrels up the tree.",WHAT FRIGHTENED THE SQUIRRELS?,A BIRD,A DOG,
B,12,Clash.Shift,SC_Clash_Shift_12.wav,target_12,"Hearing the barking dog, the innate sense for protection in heights drove squirrels up the tree.",WHAT FRIGHTENED THE SQUIRRELS?,A BIRD,A DOG,
C,12,NoClash.NoShift,SC_NoClash_NoShift_12.wav,target_12,"Hearing the barking dog, the native sense for protection in heights drove squirrels up the tree.",WHAT FRIGHTENED THE SQUIRRELS?,A BIRD,A DOG,
D,12,NoClash.Shift,SC_NoClash_Shift_12.wav,target_12,"Hearing the barking dog, the native sense for protection in heights drove squirrels up the tree.",WHAT FRIGHTENED THE SQUIRRELS?,A BIRD,A DOG,
A,13,Clash.NoShift,SC_Clash_NoShift_13.wav,target_13,"As the salespeople left the room, the compact notes from the boring meeting were thrown in the trash can.",,,,
B,13,Clash.Shift,SC_Clash_Shift_13.wav,target_13,"As the salespeople left the room, the compact notes from the boring meeting were thrown in the trash can.",,,,
C,13,NoClash.NoShift,SC_NoClash_NoShift_13.wav,target_13,"As the salespeople left the room, the bundled notes from the boring meeting were thrown in the trash can.",,,,
D,13,NoClash.Shift,SC_NoClash_Shift_13.wav,target_13,"As the salespeople left the room, the bundled notes from the boring meeting were thrown in the trash can.",,,,
A,14,Clash.NoShift,SC_Clash_NoShift_14.wav,target_14,"Although much money was paid, the unreal dream to run a dog-daycare was never realized.",,,,
B,14,Clash.Shift,SC_Clash_Shift_14.wav,target_14,"Although much money was paid, the unreal dream to run a dog-daycare was never realized.",,,,
C,14,NoClash.NoShift,SC_NoClash_NoShift_14.wav,target_14,"Although much money was paid, the foolish dream to run a dog-daycare was never realized.",,,,
D,14,NoClash.Shift,SC_NoClash_Shift_14.wav,target_14,"Although much money was paid, the foolish dream to run a dog-daycare was never realized.",,,,
A,15,Clash.NoShift,SC_Clash_NoShift_15.wav,target_15,"As the thief left the crime scene,  the covert glance behind him up the road assured him he was safe.",,,,
B,15,Clash.Shift,SC_Clash_Shift_15.wav,target_15,"As the thief left the crime scene,  the covert glance behind him up the road assured him he was safe.",,,,
C,15,NoClash.NoShift,SC_NoClash_NoShift_15.wav,target_15,"As the thief left the crime scene,  the furtive glance behind him up the road assured him he was safe.",,,,
D,15,NoClash.Shift,SC_NoClash_Shift_15.wav,target_15,"As the thief left the crime scene,  the furtive glance behind him up the road assured him he was safe.",,,,
A,16,Clash.NoShift,SC_Clash_NoShift_16.wav,target_16,Hikers need to pay attention; an unsure step through such dense underbrush could send you tumbling down.,WHO NEEDS TO PAY ATTENTION?,HIKERS,JOGGERS,
B,16,Clash.Shift,SC_Clash_Shift_16.wav,target_16,Hikers need to pay attention; an unsure step through such dense underbrush could send you tumbling down.,WHO NEEDS TO PAY ATTENTION?,HIKERS,JOGGERS,
C,16,NoClash.NoShift,SC_NoClash_NoShift_16.wav,target_16,Hikers need to pay attention; a hasty step through such dense underbrush could send you tumbling down.,WHO NEEDS TO PAY ATTENTION?,HIKERS,JOGGERS,
D,16,NoClash.Shift,SC_NoClash_Shift_16.wav,target_16,Hikers need to pay attention; a hasty step through such dense underbrush could send you tumbling down.,WHO NEEDS TO PAY ATTENTION?,HIKERS,JOGGERS,
A,17,Clash.NoShift,SC_Clash_NoShift_17.wav,target_17,"Across the decades, the convex roof to the old cathedral has been weathered by rain.",,,,
B,17,Clash.Shift,SC_Clash_Shift_17.wav,target_17,"Across the decades, the convex roof to the old cathedral has been weathered by rain.",,,,
C,17,NoClash.NoShift,SC_NoClash_NoShift_17.wav,target_17,"Across the decades, the arching roof to the old cathedral has been weathered by rain.",,,,
D,17,NoClash.Shift,SC_NoClash_Shift_17.wav,target_17,"Across the decades, the arching roof to the old cathedral has been weathered by rain.",,,,
A,18,Clash.NoShift,SC_Clash_NoShift_18.wav,target_18,"At the end-of-year dance, the sixteen girls by the water cooler discussed their summer plans.",WHAT WERE THEY TALKING ABOUT?,THE DANCE,SUMMER PLANS,
B,18,Clash.Shift,SC_Clash_Shift_18.wav,target_18,"At the end-of-year dance, the sixteen girls by the water cooler discussed their summer plans.",WHAT WERE THEY TALKING ABOUT?,THE DANCE,SUMMER PLANS,
C,18,NoClash.NoShift,SC_NoClash_NoShift_18.wav,target_18,"At the end-of-year dance, the sixty girls by the water cooler discussed their summer plans.",WHAT WERE THEY TALKING ABOUT?,THE DANCE,SUMMER PLANS,
D,18,NoClash.Shift,SC_NoClash_Shift_18.wav,target_18,"At the end-of-year dance, the sixty girls by the water cooler discussed their summer plans.",WHAT WERE THEY TALKING ABOUT?,THE DANCE,SUMMER PLANS,
A,19,Clash.NoShift,SC_Clash_NoShift_19.wav,target_19,"At the end of the week,  eighteen shirts from the town's spare-clothes-drive were given to the poor.",WHAT ITEMS WERE DONATED?,SHIRTS,SHOES,
B,19,Clash.Shift,SC_Clash_Shift_19.wav,target_19,"At the end of the week,  eighteen shirts from the town's spare-clothes-drive were given to the poor.",WHAT ITEMS WERE DONATED?,SHIRTS,SHOES,
C,19,NoClash.NoShift,SC_NoClash_NoShift_19.wav,target_19,"At the end of the week,  extra shirts from the town's spare-clothes-drive were given to the poor.",WHAT ITEMS WERE DONATED?,SHIRTS,SHOES,
D,19,NoClash.Shift,SC_NoClash_Shift_19.wav,target_19,"At the end of the week,  extra shirts from the town's spare-clothes-drive were given to the poor.",WHAT ITEMS WERE DONATED?,SHIRTS,SHOES,
A,20,Clash.NoShift,SC_Clash_NoShift_20.wav,target_20,"Every morning after the cows are milked, the fifteen cats by the dairy farm drink the left-over milk.",,,,
B,20,Clash.Shift,SC_Clash_Shift_20.wav,target_20,"Every morning after the cows are milked, the fifteen cats by the dairy farm drink the left-over milk.",,,,
C,20,NoClash.NoShift,SC_NoClash_NoShift_20.wav,target_20,"Every morning after the cows are milked, the fifty cats by the dairy farm drink the left-over milk.",,,,
D,20,NoClash.Shift,SC_NoClash_Shift_20.wav,target_20,"Every morning after the cows are milked, the fifty cats by the dairy farm drink the left-over milk.",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
