group,item,cond2,stimulus,target,sentence,question,answer_1,answer_2,correct
B,11,NoClash.NoShift,SC_NoClash_NoShift_11.wav,target_11_B,"Late in the evening, the easy task for his demanding boss seemed insurmountable.",WHO WAS THE TASK FOR?,THE BOSS,THE EMPLOYEE,answer_1
A,11,NoClash.Shift,SC_NoClash_Shift_11.wav,target_11_A,"Late in the evening, the easy task for his demanding boss seemed insurmountable.",WHO WAS THE TASK FOR?,THE BOSS,THE EMPLOYEE,answer_1
D,12,Clash.NoShift,SC_Clash_NoShift_12.wav,target_12_D,"Hearing the barking dog, the innate sense for protection in heights drove squirrels up the tree.",WHAT FRIGHTENED THE SQUIRRELS?,A BIRD,A DOG,answer_2
A,12,Clash.Shift,SC_Clash_Shift_12.wav,target_12_A,"Hearing the barking dog, the innate sense for protection in heights drove squirrels up the tree.",WHAT FRIGHTENED THE SQUIRRELS?,A BIRD,A DOG,answer_2
C,12,NoClash.NoShift,SC_NoClash_NoShift_12.wav,target_12_C,"Hearing the barking dog, the native sense for protection in heights drove squirrels up the tree.",WHAT FRIGHTENED THE SQUIRRELS?,A BIRD,A DOG,answer_2
B,12,NoClash.Shift,SC_NoClash_Shift_12.wav,target_12_B,"Hearing the barking dog, the native sense for protection in heights drove squirrels up the tree.",WHAT FRIGHTENED THE SQUIRRELS?,A BIRD,A DOG,answer_2
A,13,Clash.NoShift,SC_Clash_NoShift_13.wav,target_13_A,"As the salespeople left the room, the compact notes from the boring meeting were thrown in the trash can.",,,,
B,13,Clash.Shift,SC_Clash_Shift_13.wav,target_13_B,"As the salespeople left the room, the compact notes from the boring meeting were thrown in the trash can.",,,,
C,13,NoClash.NoShift,SC_NoClash_NoShift_13.wav,target_13_C,"As the salespeople left the room, the bundled notes from the boring meeting were thrown in the trash can.",,,,
D,13,NoClash.Shift,SC_NoClash_Shift_13.wav,target_13_D,"As the salespeople left the room, the bundled notes from the boring meeting were thrown in the trash can.",,,,
B,14,Clash.NoShift,SC_Clash_NoShift_14.wav,target_14_B,"Although much money was paid, the unreal dream to run a dog-daycare was never realized.",,,,
C,14,Clash.Shift,SC_Clash_Shift_14.wav,target_14_C,"Although much money was paid, the unreal dream to run a dog-daycare was never realized.",,,,
A,14,NoClash.NoShift,SC_NoClash_NoShift_14.wav,target_14_A,"Although much money was paid, the foolish dream to run a dog-daycare was never realized.",,,,
D,14,NoClash.Shift,SC_NoClash_Shift_14.wav,target_14_D,"Although much money was paid, the foolish dream to run a dog-daycare was never realized.",,,,
C,15,Clash.NoShift,SC_Clash_NoShift_15.wav,target_15_C,"As the thief left the crime scene,  the covert glance behind him up the road assured him he was safe.",,,,
D,15,Clash.Shift,SC_Clash_Shift_15.wav,target_15_D,"As the thief left the crime scene,  the covert glance behind him up the road assured him he was safe.",,,,
B,15,NoClash.NoShift,SC_NoClash_NoShift_15.wav,target_15_B,"As the thief left the crime scene,  the furtive glance behind him up the road assured him he was safe.",,,,
A,15,NoClash.Shift,SC_NoClash_Shift_15.wav,target_15_A,"As the thief left the crime scene,  the furtive glance behind him up the road assured him he was safe.",,,,
D,16,Clash.NoShift,SC_Clash_NoShift_16.wav,target_16_D,Hikers need to pay attention; an unsure step through such dense underbrush could send you tumbling down.,WHO NEEDS TO PAY ATTENTION?,HIKERS,JOGGERS,answer_1
A,16,Clash.Shift,SC_Clash_Shift_16.wav,target_16_A,Hikers need to pay attention; an unsure step through such dense underbrush could send you tumbling down.,WHO NEEDS TO PAY ATTENTION?,HIKERS,JOGGERS,answer_1
C,16,NoClash.NoShift,SC_NoClash_NoShift_16.wav,target_16_C,Hikers need to pay attention; a hasty step through such dense underbrush could send you tumbling down.,WHO NEEDS TO PAY ATTENTION?,HIKERS,JOGGERS,answer_1
B,16,NoClash.Shift,SC_NoClash_Shift_16.wav,target_16_B,Hikers need to pay attention; a hasty step through such dense underbrush could send you tumbling down.,WHO NEEDS TO PAY ATTENTION?,HIKERS,JOGGERS,answer_1
A,17,Clash.NoShift,SC_Clash_NoShift_17.wav,target_17_A,"Across the decades, the convex roof to the old cathedral has been weathered by rain.",,,,
B,17,Clash.Shift,SC_Clash_Shift_17.wav,target_17_B,"Across the decades, the convex roof to the old cathedral has been weathered by rain.",,,,
C,17,NoClash.NoShift,SC_NoClash_NoShift_17.wav,target_17_C,"Across the decades, the arching roof to the old cathedral has been weathered by rain.",,,,
D,17,NoClash.Shift,SC_NoClash_Shift_17.wav,target_17_D,"Across the decades, the arching roof to the old cathedral has been weathered by rain.",,,,
B,18,Clash.NoShift,SC_Clash_NoShift_18.wav,target_18_B,"At the end-of-year dance, the sixteen girls by the water cooler discussed their summer plans.",WHAT WERE THEY TALKING ABOUT?,THE DANCE,SUMMER PLANS,answer_2
C,18,Clash.Shift,SC_Clash_Shift_18.wav,target_18_C,"At the end-of-year dance, the sixteen girls by the water cooler discussed their summer plans.",WHAT WERE THEY TALKING ABOUT?,THE DANCE,SUMMER PLANS,answer_2
A,18,NoClash.NoShift,SC_NoClash_NoShift_18.wav,target_18_A,"At the end-of-year dance, the sixty girls by the water cooler discussed their summer plans.",WHAT WERE THEY TALKING ABOUT?,THE DANCE,SUMMER PLANS,answer_2
D,18,NoClash.Shift,SC_NoClash_Shift_18.wav,target_18_D,"At the end-of-year dance, the sixty girls by the water cooler discussed their summer plans.",WHAT WERE THEY TALKING ABOUT?,THE DANCE,SUMMER PLANS,answer_2
C,19,Clash.NoShift,SC_Clash_NoShift_19.wav,target_19_C,"At the end of the week,  eighteen shirts from the town's spare-clothes-drive were given to the poor.",WHAT ITEMS WERE DONATED?,SHIRTS,SHOES,answer_1
D,19,Clash.Shift,SC_Clash_Shift_19.wav,target_19_D,"At the end of the week,  eighteen shirts from the town's spare-clothes-drive were given to the poor.",WHAT ITEMS WERE DONATED?,SHIRTS,SHOES,answer_1
B,19,NoClash.NoShift,SC_NoClash_NoShift_19.wav,target_19_B,"At the end of the week,  extra shirts from the town's spare-clothes-drive were given to the poor.",WHAT ITEMS WERE DONATED?,SHIRTS,SHOES,answer_1
A,19,NoClash.Shift,SC_NoClash_Shift_19.wav,target_19_A,"At the end of the week,  extra shirts from the town's spare-clothes-drive were given to the poor.",WHAT ITEMS WERE DONATED?,SHIRTS,SHOES,answer_1
D,20,Clash.NoShift,SC_Clash_NoShift_20.wav,target_20_D,"Every morning after the cows are milked, the fifteen cats by the dairy farm drink the left-over milk.",,,,
A,20,Clash.Shift,SC_Clash_Shift_20.wav,target_20_A,"Every morning after the cows are milked, the fifteen cats by the dairy farm drink the left-over milk.",,,,
C,20,NoClash.NoShift,SC_NoClash_NoShift_20.wav,target_20_C,"Every morning after the cows are milked, the fifty cats by the dairy farm drink the left-over milk.",,,,
B,20,NoClash.Shift,SC_NoClash_Shift_20.wav,target_20_B,"Every morning after the cows are milked, the fifty cats by the dairy farm drink the left-over milk.",,,,
